pt,pref_question_pre,pref_slider_pre_1,winning_party,winning_party.1,winning_scale_1,winning_scale_1.1,justification,bias_rating_1,bias_rating_1.1,bias.justification,bias_control_1,bias_control_1.1,age,education,survey_about,comments,Order,chosen_winner,Position,Level,Slant,ChartType
1,Graphical chart,-18,,Blue,NA,-1,blue has won every year but it will be very close as green has grown larger every year,NA,9,it shows green gaining more votes each year so favors them in the graph,NA,8,25 - 34,Professional degree,,,BlueLeft,Blue,Title,4,Green,Bar
2,Graphical chart,13,,Green,NA,13,because the past two years they not been good,NA,7,not sure the impression gave me this idea,NA,7,45 - 54,Some college,,,BlueLeft,Green,Title,3,Blue,Bar
3,Graphical chart,-10,Blue,,15,NA,"The Blue party has won the election for the past 3 years. Students who voted in favor of the Blue party must have been satisfied by the outcomes each year to have voted for Blue again the following year, and that might happen again.",0,NA,"The results shown in the graph seem accurate and non-biased or misleading to favor one party or another, so any party could have been the author.",NA,NA,18 - 24,High school graduate,,,GreenLeft,Blue,Annotation,Control,Green,Bar
4,Text,14,,Green,NA,24,The rise in club membership from green will most likely work in their favor,NA,14,data shows a clear trend of green gaining ground and blue losing,NA,-11,25 - 34,Professional degree,,,BlueLeft,Green,Annotation,4,Green,Bar
5,Text,17,,Green,NA,22,Based on the trend ,NA,0,Not sure who it is,NA,NA,25 - 34,Some college,,,BlueLeft,Green,Annotation,Control,Green,Bar
6,Graphical chart,4,,Blue,NA,-18,They have more votes but the difference has been getting less as the years go on ,NA,0,It's a graph so it should be statistical ,NA,0,25 - 34,,,,BlueLeft,Blue,Annotation,2,Blue,Bar
7,Graphical chart,-12,,Blue,NA,-12,"because blue has won all the past elections, however red is catching up. ",NA,-18,Because of the section that says blue clubs are highly involved in clubs ,NA,0,18 - 24,4 year degree,,,BlueLeft,Blue,Annotation,4,Blue,Bar
8,Graphical chart,-10,Green,,-11,NA,Green has been increasing year over year while blue has shown fluctuation. If green continues their momentum they would be more likely but not guaranteed to win.,0,NA,The data does not favor either party. I do not see any signs of bias.,1,NA,25 - 34,Some college,N/A,N/A,GreenLeft,Green,Title,3,Green,Bar
9,Graphical chart,-20,,Green,NA,25,Green shows consistent growth over the years,NA,25,Because of the note by year 3,NA,-5,25 - 34,4 year degree,,,BlueLeft,Green,Annotation,4,Green,Bar
10,Graphical chart,-20,Green,,-18,NA,Trend showing consistent improvement over the last few years. ,-5,NA,"Would like to think neutral, but feel drawn a bit to the possibility of them being a green author since that is projecting to be the stronger party.",NA,NA,45 - 54,4 year degree,,,GreenLeft,Green,Title,Control,None,Bar
11,Graphical chart,-9,Blue,,5,NA,They won the past three years,2,NA,"It seems like a pretty straightforward graph, although the title doesn't note that green's popularity is rising year by year.",0,NA,25 - 34,4 year degree,,,GreenLeft,Blue,Title,3,Blue,Bar
12,Graphical chart,-25,Blue,,14,NA,Blue continues to stay ahead of green.  I think they will continue to stay ahead.,0,NA,It doesn't seem biased.,0,NA,65 - 74,Some college,,,GreenLeft,Blue,Title,3,Green,Bar
13,Text,12,Green,,-7,NA,Green seems to have been increasing steadily in the percentage of votes they've won while blue has been more variable,-7,NA,It seems to show green as coming closer to winning the same percentage of votes or more than blue,8,NA,18 - 24,,,,GreenLeft,Green,Title,2,Green,Bar
14,Graphical chart,-15,Green,,-11,NA,"Although both parties have more support than they did in year 1, Green has had a steady improvement in support over the three years while Blue has waivered a bit. ",0,NA,I imagine the chart would make the opposing party look bad if the chart was made by one of the parties and not a neutral party. ,0,NA,25 - 34,4 year degree,How people consume information best,,GreenLeft,Green,Title,4,Green,Bar
15,Graphical chart,-13,,Blue,NA,-3,It's been trending green but blue probably still has an institutional advantage,NA,0,no reason to think it was written by a partisan author,NA,NA,25 - 34,Some college,,,BlueLeft,Blue,Annotation,Control,Blue,Bar
16,Graphical chart,-8,Green,,-6,NA,"Green consistently trended upwards, while blue didn't grow as much from year 1 to year 3, while the other smaller parties seemed to trend downward, as shown by the percentage of blue and green parties combined rising over each year.",0,NA,Nothing seemed blatantly biased. The graph just visualizes facts with an appropriate title.,0,NA,18 - 24,Some college,,,GreenLeft,Green,Title,2,Green,Bar
17,Graphical chart,-15,,Blue,NA,-13,More votes previously,NA,0,Why would the teams make it?,NA,0,25 - 34,High school graduate,,,BlueLeft,Blue,Annotation,2,Green,Bar
18,Graphical chart,15,,Blue,NA,-20,Blue has been more popular in recent years than Green and imagine that will continue.,NA,-25,The title of the graph is biased towards Blue.,NA,0,18 - 24,2 year degree,I think this survey was about how consumers prefer to receive information.,,BlueLeft,Blue,Title,3,Blue,Bar
19,Graphical chart,-14,,Green,NA,14,Green has been inching closer to blue every year,NA,-1,Doesn't really show any bias,NA,0,25 - 34,2 year degree,,,BlueLeft,Green,Annotation,4,Blue,Bar
