annotation,annotation_text,prompt,rating_mean,rating_sd,n,rating_se,chart_type,noside
neutral_12,It will be interesting to see results for year 4. ,neutral,1.4,3.098386676965933,10,0.9797958971132711,bar,1
neutral_4,Keep an eye on the election this year.,neutral,2.2727272727272725,3.466724941235145,11,1.0452568983130772,bar,1
neutral_5,It is unpredictable who will win,neutral,2.5555555555555554,3.6094013046179523,9,1.2031337682059842,bar,1
original_4_gl2,Votes for Green greater in Year 3 than Years 1 and 2,original,2.5555555555555554,4.0034707164881045,9,1.3344902388293682,bar,0
original_1_bl2,"Votes for Blue greater than Green in Years 1, 2, and 3",original,2.566666666666667,3.2175116087406668,15,0.8307579251254424,bar,0
neutral_7,"The gap continues to close, slowly. ",neutral,2.7,2.359378449224852,10,0.7461009761866464,bar,1
neutral_9,Year 4 might be the year of either group,neutral,2.8181818181818183,3.400534717310847,11,1.0252997948997589,bar,1
neutral_10,Wide support for both groups.,neutral,2.9,3.2812599206199233,10,1.0376254944182253,bar,1
neutral_3,Voters split between Blue and Green.,neutral,3,2.958039891549808,9,0.9860132971832694,bar,1
blue_1,Blue has won the past three years,blue,3.3636363636363638,3.6131074512869743,11,1.0893928857414723,bar,0
neutral_2,The elections are getting closer every year,neutral,3.6,4.033195589934446,10,1.2754084313139327,bar,1
green_9,Green group is rising slowly,green,3.7,2.79085809185793,10,0.8825468196582483,bar,0
neutral_8,Blue and Green are in a close race.,neutral,3.909090909090909,3.6456699097572027,11,1.0992108363775883,bar,1
neutral_6,"Green always falls short, but is slowly rising ",neutral,4.3,2.869378562220979,10,0.9073771725877465,bar,0
neutral_11,Blue and green close to each other,neutral,4.454545454545455,3.4745830358083647,11,1.0476262029736678,bar,1
green_8,The trend the past few years supports Green!,green,5,2.8284271247461903,10,0.8944271909999159,bar,0
neutral_1,A considerable gap in votes. ,neutral,5.066666666666666,3.3587129054077223,15,0.8672159431557357,bar,1
blue_14,Blue beat green by a few,blue,5.2727272727272725,3.101319367330914,11,0.9350829724090031,bar,0
blue_10,Blue group's margin is larger,blue,5.3,2.8303906287138374,10,0.8950481054731702,bar,0
original_5_gl3,"Year after year, votes for Green have increased",original,5.333333333333333,4.092676385936225,9,1.3642254619787417,bar,0
original_2_bl3,"Year after year, Blue has received more votes",original,5.363636363636363,2.203303305163739,11,0.6643209420525497,bar,0
green_6,Support for Green group continues to grow.,green,5.454545454545454,1.916436086262016,11,0.5778272211662074,bar,0
green_14,Green is coming up on Blue's votes,green,5.555555555555555,3.5039660069381062,9,1.1679886689793688,bar,0
green_1,Green has consistent increase over the past three years,green,5.666666666666667,3.570714214271425,9,1.1902380714238083,bar,0
blue_4,Blue has been pulling in more votes every year!,blue,5.888888888888889,3.2188679859713276,9,1.072955995323776,bar,0
blue_7,Blue won by few votes,blue,5.909090909090909,3.238967287718277,11,0.9765853819633299,bar,0
blue_2,Blue group is consistent,blue,6.181818181818182,2.227921983292136,11,0.6717437527967698,bar,0
blue_13,Blue group continues to be favored by voters.,blue,6.2727272727272725,1.618079669911781,11,0.487869376909045,bar,0
blue_12,A majority of people support the blue group,blue,6.3,2.7100635498903793,10,0.856997342145496,bar,0
