pt,green_14,original_4_gl2,green_10,green_13,neutral_3,green_12,green_1,green_4,green_15,blue_4,green_2,original_5_gl3,blue_8,blue_6,neutral_5,blue_9,neutral_9,blue_13,original_2_bl3,green_11,blue_14,original_6_gl4,blue_7,neutral_8,blue_15,green_6,blue_2,green_5,neutral_4,neutral_1,neutral_11,blue_1,green_8,original_3_bl4,blue_12,neutral_7,original_1_bl2,neutral_6,green_7,neutral_2,neutral_10,green_3,blue_3,green_9,blue_10,neutral_12,blue_11,blue_5,thought_process,high_reason,low_reason,strategy_change,original_1_bl2_re,original_1_bl2_elab,green_4_re,green_4_elab,neutral_1_re,neutral_1_elab,blue_5_re,blue_5_elab,age,education,survey_about,comments,ChartType,First_Group,Second_Group,Exclude
1,9,10,7,8,6,2,8,9,10,5,7,8,9,10,6,10,8,8,9,8,7,5,6,9,9,7,8,3,10,4,8,10,,,,,,,,,,,,,,,,,I consider the fact that blue has one the past 3 years and green has not.,Depending on the questions of blue having won and green not,green not having won in the past 3 years,"My strategy is basically the same, it depends on the accuracy of the questions and prompts that are given.",8,Every year blue had the most votes.,8,Every year green has increased the amount of votes.,5,Because there is a gap but not a big difference on the gap of votes between blue and green.,8,Because blue has won each year.,18 - 24,High school graduate,,,Bar,2,1,0
2,10,0,10,10,0,10,6,10,10,10,10,5,10,2,1,10,,,,,,,,,,,,,,,,,10,10,8,0,0,7,10,6,0,10,10,5,8,0,10,10,I consider the objectivity of the annotation and the data from the chart.,I rate an annotation high if it favors one group without factual data to prove it.,"I rate an annotation low if it does not favor one side without justification, or if it seems like a rather neutral statement.",My strategy has not changed.,0,"Though the statement is vague because the chart measures percentages and not solid counts, this annotation states that votes for blue were greater than green because blue won.",10,This annotation favors one side because the comment is not objective.,10,"The gap is not considerable if considerable can be taken as ""large.""",10,There is no data from the chart that can lead us to this explicit conclusion.,18 - 24,High school graduate,,,Bar,3,1,0
3,,,,,,,,,,,,,,,,,7,6,5,8,5,10,5,7,9,1,3,10,1,8,7,0,2,10,9,2,1,7,6,1,5,8,6,0,5,2,9,6,The gap between the performance in green and blue. The language used. The trends in the data.,Considering the level of evidence that supports the claim,Considering the level of evidence that supports the claim,My rating strategy has not changed in a significant way,0,True for each independent year,9,"The y axis is percentage of votes, it does not mean green is getting more raw votes",7,"The gap is fairly small, considerable feels too strong",3,True within this sample size of 3 years,25 - 34,Doctorate,,,Bar,2,3,0
4,1,1,8,4,1,8,6,4,6,6,6,1,6,0,0,4,0,5,5,6,2,10,6,0,8,5,6,8,0,8,6,0,,,,,,,,,,,,,,,,,"I look at the results for all 3 years and also consider what has actually been shown, not what I might assume after being shown it",If bias towards one side is really obvious,If there is no apparent bias or if what has been stated is totally justified,"Not really: I am still considering the same things, but I'm thinking a little more about who is speaking and what their motivation might be",1,because that is shown to be entirely true. Just stating the facts/ numbers/ results is not showing bias. ,4,"Yes, green is getting more votes and the statement is mostly justified, but whoever is saying that followed by an exclamation point wants you to envision green winning now",9,The gap between votes on all 3 years is relatively small. Whoever says it's large wants you to think 1 is a clear winner and is much better than the other,8,Blue has won more but that doesn't mean that overall they have more leadership experience. Biased statement,55 - 64,Professional degree,how do statements about election results affect our interpretation ,,Bar,2,1,0
5,9,1,9,8,5,10,10,10,6,1,8,10,9,10,10,8,,,,,,,,,,,,,,,,,5,10,10,5,1,5,10,1,1,10,8,8,5,1,10,10,What I can tell looking at the chart,What facts I see in the chart, chart does show enough facts ,Yes my strategy has changed. If the question is misleading or towards one group I place it higher,1,This statement is the truth that blue has more green in the first 3 years,5,Green is getting more votes but also is blue,2,This statement doesn't favor any side but there's not a considerable gap in votes,10,Nothing in the chart has blue has the most experience leading,25 - 34,4 year degree,,,Bar,1,3,0
6,5,0,10,10,0,5,0,5,7,10,7,0,9,7,0,8,7,5,0,8,5,2,7,5,10,5,10,10,1,3,8,5,,,,,,,,,,,,,,,,,The tone of the phrase and the actual data coming along with it. ,If the phrase is clearly biased towards one side without stating analytical fact.,If the phrase is not biased and states fact.,I've started rating phrases that state fact closer to the middle.,1,States fact with no bias.,5,"The phrase has a biased connotation towards green, but states fact",3,"There is no obvious bias, but the facts are not quite there.",10,This phrase is opinion and there is no evidence on this chart that would suggest that.,18 - 24,Some college,Person's opinion on bias,no,Bar,1,2,0
7,,,,,,,,,,,,,,,,,5,7,5,6,5,7,6,5,9,6,6,9,5,7,5,5,8,8,5,5,5,6,9,1,5,9,7,6,6,1,9,7,That the annotation shows favoritism or predictions toward one side or the other.,"When it clearly is biased toward one side.  ""Blue will win again""","When it is fact based.  ""The gap is getting smaller.""",I think so.  I seemed to rate more in the middle for those that were stating facts even though mentioning one side or the other.,6,"Because it is mostly fact based but by pointing out that Blue has won for those 3 years, it may be perceived as showing slight favoritism.",7,Because it favors the green side somewhat in noting they are getting more votes every year.,5,Because it is more fact based than biased,8,"Because by pointing out that the blue group has the most experience in leading, it shows strong favoritism for that group even if it is fact based.",55 - 64,Some college,Biases in society,,Bar,3,2,0
8,4,2,10,5,0,5,5,8,10,8,7,6,10,5,0,6,0,5,5,10,2,10,1,0,10,5,6,10,0,8,0,0,,,,,,,,,,,,,,,,,"I try to consider the wording of the annotation, and how much it reflects the objective metrics we have to consider.",I rate an annotation high if it seems emotionally biased in such a way that is not much based on data.,I rate them low if they are showing equal consideration for both sides and basing their wording on the data.,My rating strategy has remained the same.,0,"This annotation is merely presenting the facts as they are, and so is totally justified.",8,"It is entirely accurate that Green has been gaining votes every year. However the presentation of this, solely focusing on green and in a seemingly excited fashion with the exclamation point, is showing clear bias.",6,"I slid it slightly towards the right because it hardly seems to me like the gap is ""considerable"". However, I recognize the subjectivity of such an assessment, so I could not judge it overly harshly.",8,"This annotation seems to be showing favoritism towards Blue in it's framing. However, it also has some basis in the data considering Blue has been leading for the first three years, so I couldn't put it all the way to the right.",25 - 34,Some college,,,Bar,1,2,0
9,1,0,9,1,1,1,0,0,5,9,2,1,6,0,1,8,1,2,0,10,5,8,5,0,6,0,5,10,0,3,1,0,,,,,,,,,,,,,,,,,"Blue has won every year, but green is closing the gap and gaining votes every year. ",If the statement is supported by the chart and isn't biased,If the statement is biased and not supported by the chart,"No, it remains the same. The chart has not changed. ",1,It's a statement of fact according to the chart.,4,"It favors the green side, but has sufficient justification",8,The gap is much smaller than previous years,1,"Blue group has won each of the years in the chart, so they would have more experience leading",25 - 34,High school graduate,,,Bar,2,1,1
10,,,,,,,,,,,,,,,,,0,5,5,6,5,10,5,6,9,6,5,10,0,3,6,5,0,10,5,5,5,5,4,10,5,9,8,5,5,0,10,9,I am considering what I saw on the chart.,By the graphs on the chart.,By looking at the numbers on the chart above.,"No, it is still about the above chart.",5,The chart shows that each year blue has gotten more votes.,5,Each year green gets more votes according to the chart.,0,The votes for both sides gets closer each year.,10,I do not know if the blue group has the most experience.,35 - 44,2 year degree,,,Bar,3,2,0
