pt,neutral_12,green_8,green_3,blue_11,green_4,neutral_15,blue_13,original_2_bl3,neutral_5,green_2,green_16,original_4_gl2,blue_9,neutral_7,neutral_2,green_5,blue_4,blue_14,blue_15,green_1,neutral_13,green_10,neutral_9,neutral_3,blue_10,blue_3,original_3_bl4,neutral_11,neutral_14,green_9,green_6,blue_5,green_7,green_14,blue_6,blue_8,green_17,green_15,neutral_8,green_11,green_13,blue_12,green_12,neutral_10,blue_2,original_6_gl4,original_5_gl3,neutral_6,neutral_1,neutral_4,neutral_16,blue_1,blue_7,original_1_bl2,thought_process,high_reason,low_reason,strategy_change,blue_3_re,blue_3_elab,green_4_re,green_4_elab,neutral_8_re,neutral_8_elab,original_2_bl3_re,original_2_bl3_elab,age,education,survey_about,comments,ChartType,First_Group,Second_Group,Exclude
1,,,,,,,,,,,,,,,,,,,9,8,2,5,2,5,5,5,9,3,5,5,6,6,5,6,8,7,6,1,1,3,4,7,6,1,5,8,1,5,2,2,2,5,5,3,I look at the trends in the graph and try to see if they are specific to one company.,If there is anything to back up the claim being made.,If it is broad and not specific.,Nothing has changed. A 25 character limit is also a bit annoying for a question like this.,5,They have been higher from February to September. Sufficient justification.,5,Green has been steadily increasing. Sufficient justification.,5,Their shares are just about coming together for the month. Sufficient justification.,5,"Because according to the data, Blue has always been higher than Green. That is sufficient justification.",25 - 34,Professional degree,Not entirely sure. I guess to gauge how people view certain data and trends.,The final 4 questions were repetitive making us describe why we chose what we did when we already explained how we were giving our ratings.,Line,3,2,0
2,0,5,5,8,4,0,5,4,0,5,5,5,4,0,0,5,10,9,,,,,,,,,,,,,,,,,,,0,5,0,2,2,10,3,0,5,5,2,7,3,8,1,5,7,5,I look at the recent market trends of the companies.,When the annotation ignores recent data or exaggerates. ,When the annotation gives a fair explanation of the data.,I rate the annotations on if it seems they have any bias.,6,"Blue has consistently above green, but lately their share has decreased while green's has increased, almost matching.",4,It favors the green company somewhat but is backed up by the green line consistently moving upwards. ,0,Both companies are within 10 percent of eachother.,6,"It is true that blue holds a higher share percent, but you can obviously see blue has been trending downwards, almost meeting green.",35 - 44,High school graduate,,,Line,3,1,0
3,2,5,5,9,6,6,6,5,1,5,5,5,5,5,1,8,9,1,,,,,,,,,,,,,,,,,,,2,4,4,6,5,2,3,1,5,2,5,7,2,1,5,5,7,5,What the question is asking and what the graphs show,when there is data that suggests the trend is happening,when there is insufficient data to support,My rating strategy has not changed. It would change given different information given to me.,5,Blue is visually above green for all of the graph.,5,Green shares have had a positive slope for the whole of the graph.,6,I gave the rating because the companies tying is subjective and would favor the green company slightly as they are lower on average.,5,I gave that rating because the graph shows that blue has higher share percent over the course of the graph.,25 - 34,4 year degree,,,Line,3,1,0
4,2,6,7,7,6,1,7,6,2,6,5,5,5,2,6,6,7,4,,,,,,,,,,,,,,,,,,,8,5,2,8,9,8,3,5,9,7,8,1,0,5,8,8,5,6,I considered the rates and the justified reason. ,How well they've been doing,How they compare to the other company,It hasn't changed since the beginning.,6,It seems a bit more biased,5,It's a biased comment about how it's been improving,1,It talks about how they're both similar in value.,5,Talking about how it has a higher share percent and has kept it that way.,18 - 24,High school graduate,,,Line,3,1,0
5,0,5,5,10,5,1,5,6,0,5,5,8,5,0,0,4,9,6,6,8,0,5,0,0,6,5,10,0,6,4,5,4,5,4,9,5,,,,,,,,,,,,,,,,,,,What was the annotation describing? Does it name blue or green specifically?,If it is a specific fit to the annotation either closely or precisely.,If it does not relate to a specific quality or is a neutral statement. ,"Yes, I rate in the middle if it describes precisely. If it is very biased, that's when we rate them on the right side of the scale, or high. ",5,"Blue has been consistently above green, although the gap is closing. Sufficient justification. ",5,"It has sufficient justification, so it gets right in the middle. ",0,Does not favor either side and is correct. Thus a 0. ,5,Blue does hold a higher market share. Sufficient justification again. ,35 - 44,Professional degree,,,Line,2,1,0
6,0,1,0,8,0,0,10,0,0,0,0,0,0,0,0,0,10,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,"If the annotation matches the data on the graph without making incorrect assumptions or citing data not included on the graph, then the statement is justified.","If it states information about one company that's not available on the graph,","When the statement is factual based on the graph, or when the statement is regarding both companies and the data matches.",It has stayed the same. I haven't changed strategies.,0,The statement is true according to the graph.,0,The chart shows that this is a true statement.,0,"The statement is true, according to the graph.",0,Blue has held a higher percent of the market share according to the graph.,35 - 44,High school graduate,,,Line,3,1,0
7,,,,,,,,,,,,,,,,,,,8,0,4,7,3,0,5,0,10,10,10,0,6,9,5,1,9,5,0,1,0,8,1,9,0,6,5,5,5,10,7,1,8,5,5,6,The chart and the question.  The movements of each company.,A biased one sided question,A non biased one sided question,No my rating strategy has not changed at all.,0,"It is a fact, it is consistently above blue every month.",0,"Green has very steady progress, blue is shakey and volatile",6,"Green is consistently growing, blue is fluctuating a lot.",2,"This is true but with blues volatility and greens consistent improvement blue may not hold it for long, or win the prize for the event.",25 - 34,4 year degree,,,Line,3,2,1
8,,,,,,,,,,,,,,,,,,,5,5,0,0,0,0,8,5,10,0,0,5,7,6,2,5,8,7,1,7,0,5,5,10,3,0,5,8,4,0,0,0,0,2,2,1,"I'm considering if I was just looking at a chart for two companies, as if in a magazine.","I'm not sure what you mean by ""high"" and ""low"" I rate without bias more for factual statements.
I rate to the right, (more biased) for one sided analysis.","I'm not sure what you mean by ""high"" and ""low"" I rate without bias more for factual statements.
I rate to the right, (more biased) for one sided analysis.",No not really. You want 25 characters for a no answer? My rating strategy is trying to follow the instructions you provided.,4,"Also, this is factual, but does not make any mention of greens upward trend. It slightly favors one side with justification",5,"This is factual, but slightly favors green, not mentioning blue has a higher market share overall.",0,"This is a purely factual, non biased annotation.",5,"The statement is factual, but only offers an opinion one one side (blue). It slightly favors blue, but since the statement is factual, it is not overwhelmingly biased.",45 - 54,2 year degree,,,Line,2,3,0
9,9,5,5,8,6,5,10,10,8,5,5,10,9,5,7,7,10,9,,,,,,,,,,,,,,,,,,,6,6,8,5,5,9,7,6,9,4,5,2,5,6,9,10,9,9,each ones growth and how far they have come along.,The percentage and how much they have grown.,When it starts to decrease,no its hasn't changed since I finished everything.  ,9,Blue has been on top for a long time and green has been losing.,5,Green is increasing but at a slow pace.,8,Both where very close in September but I feel like blue is going to win.,10,Blue has done a better job than green and it shows.,25 - 34,High school graduate,,,Line,3,1,0
10,0,5,1,6,1,1,6,5,0,1,0,0,0,0,0,5,9,7,4,6,3,2,2,0,6,3,7,4,7,6,3,1,4,9,9,4,,,,,,,,,,,,,,,,,,,"I generally judge whether the annotation seems to describe the chart and its statistical trends or whether it's inappropriately emotional or seems to ""want"" one side or the other to win","Expression of emotion, declaration of sureness about the outcome, a general sense that the annotation is ""rooting"" for green or for blue","Factual description of the chart, general notation of a trend, description of both green and blue (even if not supported by the evidence)","I've begun to evaluate statements about both teams differently-- if it seems to be a projection or unsupported by the evidence, then it seems clearer to me now it still may be biased towards one or the other team. I.e. saying ""both teams are improving"" would be biased towards blue since green has shown much more growth and blue has fluctuated around a set point and has actually dropped from its highest point",5,The implication of this statement (although it is true) is that blue has some kind of consistent advantage over green-- making the statement on the chart so close to the end date implies that the writer maybe intends to communicate that it's worth sticking with blue. While it's true that blue has been consistently above green in the past (so it's justified) it's not necessarily true this will be true in the future and ought to be communicated as a determining factor for the winner (hence favoring blue),2,"Making a positive statement about green rather than an observation about the general state of things or both teams seems to imply a favorable opinion of green. However, it's justified by the evidence on the chart (green HAS been steadily increasing over the months)",4,"I would say this one implies favoritism towards green since it's hard to evaluate what exactly counts as a ""near tie"" and blue is fluctuating up and down around a set point. It seems to imply an upward trajectory for green that will meet blue. This is merited (eventually) by the evidence even if it doesn't happen by the end date.",8,"Blue has held a higher share percent over time but this ""continuously"" is not likely to hold in the future given green's growth. It's implied communicating this on the chart is to point out blue's continual higher share as if it is meaningful for the future, whereas it seems green is very likely to catch up soon",25 - 34,4 year degree,implicature?,,Line,1,2,0
11,3,5,5,10,5,2,9,5,0,5,1,5,5,0,2,6,10,6,8,7,0,4,0,0,4,6,7,7,7,2,0,5,1,8,10,10,,,,,,,,,,,,,,,,,,,"When a specific company is mentioned, I check the chart to see how accurate the annotation's claim makes about that company's stats.","If the annotation's claims appear true about a specific company based on the data in the chart. Or when neither company is made, just a general observation about the information on the chart (but still only rate it on the higher side if the data reflects the annotation's observation)",When a claim was made about a specific company that didn't reflect the data as I interpreted it based on the chart. ,"Still the same. If something seems overly biased, I still compare it to the data provided on the chart to see if there is any evidence to the claim of the annotation.",7,"While it is true that the value of Blue has been above Green all year, based on the chart, Blue has only fluctuated around 50 while Green consistently has grown. An educated guess at a projection would be that Green would continue to grow at the same rate and surpass Blue. This makes Blue sound more favorable without considering Green's growth rate.  ",2,Because it is true that Green company is consistently increasing over the entire year vs. where Blue goes up and down but sticks around 50 the whole year. ,1,"Based on the data in September along, this is true as they were as closer than any other point in the year.",9,"While also true of Blue holding/fluctuating around 50 the entire year, this statement also strongly favors Blue without considering the consistent growth of Green.",35 - 44,4 year degree,,,Line,2,1,1
12,,,,,,,,,,,,,,,,,,,10,0,0,0,10,0,10,10,10,0,5,5,0,10,0,10,10,5,0,5,0,0,0,10,5,5,10,10,5,10,10,10,10,10,10,10,Being able to discover certain patterns of information,It is because blue line is higher than the green ,It is because the green line is lower ,My rating strategy doesn't change ,10,It is because blue higher number ratings ,0,It does not increase because it lacks behind ,10,It is because blue companies percentage varies ,0,It is because blue percentage has high and rule over green ,35 - 44,4 year degree,,,Line,3,2,1
13,0,4,1,7,0,0,4,2,0,9,1,1,0,0,0,0,10,7,1,3,0,0,0,0,0,0,10,0,0,0,2,0,0,7,10,6,,,,,,,,,,,,,,,,,,,If the data reflects the annotation,If the annotation is making baseless claims with no evidence,If the annotation is unbiased or just making a simple observation,"No it has not, I have not changed my strategy at all",0,It is true information,0,It has been steadily increasing and that is very clear,0,It is true information,0,It is a true observation,18 - 24,4 year degree,,,Line,1,2,0
14,,,,,,,,,,,,,,,,,,,7,10,5,10,5,2,4,0,10,0,8,3,0,5,5,5,10,0,0,0,7,5,2,6,0,0,0,10,5,10,10,10,0,0,5,0,I take in to account the image of the graph,When the given scenario is proven to be false are leaning towards so,When the given scenario is true based off the image,My rating strategy has not changed,0,Blue has consistently been above Green according to the image ,3,Green has been increasing however it does decline at every so often,10,I believe the annotation favors Green due to it being behind in percent shares compared to Blue ,0,Blue has constantly having a higher share percent even with its slow decline,25 - 34,2 year degree,,,Line,3,2,0
15,9,9,8,2,8,4,7,8,8,8,8,4,9,9,10,9,8,6,,,,,,,,,,,,,,,,,,,7,7,3,8,7,9,4,5,9,4,6,8,8,3,6,8,6,7," my thought process when making ratings involves evaluating the language used in the annotation and determining whether it exhibits bias towards one side or the other without sufficient justification.
To make this determination, I consider several factors, such as the use of emotional or loaded language, the omission of relevant information or context, and the inclusion of subjective opinions or assumptions. I also consider whether the annotation is objective, neutral, or balanced in its presentation of information.","I would rate an annotation high if it exhibits a strong bias towards one side or idea without sufficient justification. This could manifest in several ways, such as the use of emotionally charged language, the omission of relevant information or context, or the inclusion of subjective opinions or assumptions.","I would rate an annotation low if it exhibits little or no bias towards one side or idea, and presents a neutral or balanced view of the data presented in the chart. An annotation that provides factual information, presents both sides of an issue or avoids subjective opinions and assumptions would receive a low rating because it does not exhibit bias towards one side or the other.",my rating strategy hasn't changed.,2,"The reason for this rating is that the annotation presents a subjective opinion, which suggests a clear bias towards Blue, without sufficient justification or evidence to support this claim. The use of the word ""consistently"" suggests that Blue has always been superior to Green, but the annotation does not provide any specific data or analysis to support this claim.

Furthermore, the annotation ignores the fact that the Green company's market share has been increasing over time, which indicates that the company may be performing well and gaining momentum. Therefore, this annotation may be perceived as biased and lacking in objectivity. Thus, I would rate it as a 2 out of 10, indicating a high level of bias.",7,"The reason for this rating is that the annotation presents a subjective opinion, which suggests a preference or bias towards the Green company, without sufficient justification or evidence to support this claim. The use of the word ""steadily"" suggests that the Green company is performing well and growing consistently, but the annotation does not provide any specific data or analysis to support this claim.

While it is true that the Green company's market share may be increasing, without additional information or context, this annotation may be perceived as biased towards Green. Therefore, I would rate it as a 7 out of 10, indicating a moderate level of bias.",5,"The reason for this rating is that the annotation presents a neutral and factual statement about the data presented in the chart, without exhibiting any apparent bias towards one company or the other. The use of the word ""nearly"" suggests that there is a small difference between the market shares of the two companies, but the annotation does not provide any subjective opinions or assumptions that could indicate bias.

Overall, this annotation appears to be objective and balanced and presents a neutral view of the data, which is why I would rate it a 5",8,"The reason for this rating is that the annotation presents a subjective opinion, which suggests a preference or bias towards the Blue company, without sufficient justification or evidence to support this claim. The use of the word ""continuously"" suggests a sense of dominance or superiority of Blue over Green, but the annotation does not provide any specific data or analysis to support this claim.

While it is true that Blue may hold a higher market share than Green, without additional information or context, this annotation may be perceived as biased towards Blue. Therefore, I would rate it as an 8 out of 10, indicating a moderate level of bias.",45 - 54,4 year degree,"Rate Possible Chart Annotations
",None,Line,3,1,0
16,,,,,,,,,,,,,,,,,,,10,10,5,5,1,5,1,1,10,5,1,1,1,9,5,10,5,5,1,1,5,1,1,10,1,5,5,1,1,5,5,1,5,1,1,1,The statements matching the graph.,Truth. The statements matching the graph.,Truth.  The statements matching the graph.,"No, it didn't change.  Still matching the statements to the graph.",5,"""Has sufficient justification.""",5,Has sufficient justification. Statement matches the graph.,5,Has sufficient justification. Statement matches the graph.,5,Has sufficient justification. Statement matches the graph.,45 - 54,Some college,How people are able to read facts on a graph compared to written statements that may/may not match truth on the graph.,,Line,3,2,0
17,,,,,,,,,,,,,,,,,,,7,7,0,0,0,0,10,2,10,0,6,1,0,3,0,2,5,1,8,10,0,7,0,8,0,0,0,10,0,8,0,5,0,0,1,0,"The word choices used, how correct/incorrect it is, whether it seems opinionated or cannot be argued against ","Biased words, opinionated, no proof ","proven facts or statistics, no biased words ","It has not changed, I am on the lookout for the same things and words. ",0,"This is also true - though it is catching up, green still has yet to pass blue. ",0,"This is a fact that is proven in the graph. Steady increase is not biased, as the graph shows this to be exactly true. ",0,"This is also true as shown in the graph, they are very close by September. ",0,"This is true, blue has not yet been surpassed. ",18 - 24,4 year degree,,,Line,2,3,0
18,5,10,0,10,2,6,6,0,5,3,0,0,7,3,5,6,10,7,5,10,0,6,5,0,10,5,10,6,10,10,5,10,5,10,10,5,,,,,,,,,,,,,,,,,,,The scale is kind of confusing me,"Charged/emotion words, details not coming from data","Doesn't favor one company, accurate to the data",No it has not changed at all.,2,"Same as before - only mentions blue, but correct info",2,"It favors green by only talking about green, but the claim is backed up by the data",5,"This is less accurate because what does ""nearly"" mean?",2,Same reason as before,25 - 34,Professional degree,,,Line,2,1,0
